time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.629717,2.9551310620056,-0.990184597449,-1.16237394069,1.91632549708,0.643121444586,1.00935935728,-0.480902976453,100.0,0.0820679720581,-1.00207294854,1.19228656602,1.94010219926,-0.670733098737,1.03198557387,0.502762202655,94.8553085327
0.629799,2.9551310620056,-0.990184597449,-1.16237394069,1.91632549708,0.643121444586,1.00935935728,-0.480902976453,100.0,0.0820679720581,-1.00207294854,1.19228656602,1.94010219926,-0.670733098737,1.03198557387,0.502762202655,94.8553085327
0.640086,2.9543640716125,-0.989417607056,-1.1619904455,1.91709248747,0.643121444586,1.00974285247,-0.480519481256,100.0,0.081300981665,-1.00092246295,1.19190307083,1.94010219926,-0.67034960354,1.03275256426,0.501611717065,94.8553085327
0.650131,2.9551310620056,-0.990568092645,-1.16237394069,1.91709248747,0.644271930176,1.00974285247,-0.480902976453,100.0,0.0824514672546,-1.00130595815,1.19151957563,1.93971870406,-0.671116593933,1.03198557387,0.501611717065,94.8553085327
0.660084,2.9547475668091,-0.991335083038,-1.1619904455,1.91632549708,0.64273794939,1.00974285247,-0.482053462042,100.0,0.0816844768616,-1.00168945334,1.19190307083,1.93971870406,-0.671116593933,1.03121858348,0.501228221869,94.8553085327
0.670017,2.9543640716125,-0.989417607056,-1.1616069503,1.91709248747,0.643888434979,1.00974285247,-0.481669966846,100.0,0.0824514672546,-1.00130595815,1.19151957563,1.93971870406,-0.669966108344,1.03198557387,0.501995212262,94.8553085327
0.679957,2.9547475668091,-0.990184597449,-1.1616069503,1.91555850668,0.643121444586,1.00974285247,-0.480519481256,100.0,0.081300981665,-1.00130595815,1.19151957563,1.94010219926,-0.670733098737,1.03236906907,0.502762202655,94.8553085327
0.689977,2.9543640716125,-0.990568092645,-1.16237394069,1.91632549708,0.643121444586,1.01012634767,-0.480902976453,100.0,0.0816844768616,-1.00207294854,1.19190307083,1.93933520887,-0.669966108344,1.03121858348,0.501995212262,94.8553085327
0.700169,2.9547475668091,-0.989801102252,-1.16237394069,1.91632549708,0.643504939783,1.00974285247,-0.481286471649,100.0,0.0820679720581,-1.00207294854,1.19151957563,1.93971870406,-0.67034960354,1.03198557387,0.501995212262,94.8553085327
0.710073,2.9547475668091,-0.990184597449,-1.1619904455,1.91594200188,0.642354454193,1.00974285247,-0.480519481256,100.0,0.0820679720581,-1.00245644374,1.19151957563,1.93895171367,-0.670733098737,1.03236906907,0.501995212262,94.8553085327
